Breed,Age,Height,Weight,Character Traits,Health_Problems
Basset Hound,12,15,30,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Chinese Crested,15.5,13,35.5,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Kerry Blue Terrier,14,18,33.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,15,26,41.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Australian Shepherd,15,20.5,6.2,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Bulldog,10,16,23.2,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
English Setter,15,25,21.7,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Gordon Setter,15,25,18,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Cardigan Welsh Corgi,14,12,23.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Poodle,15,15,24,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Dachshund,15,9,28.7,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Jack Russell Terrier,15,12,14.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pekingese,15,9,37.1,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Irish Setter,14,27,34.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Standard Poodle,15,18.5,34.5,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Italian Greyhound,15,14,9.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Setter,14,26,0.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,15,26,6.4,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Newfoundland,11,27,36.7,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Jack Russell Terrier,15,12,26.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Setter,15,25,9,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Gordon Setter,15,25,28.2,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Field Spaniel,14,16.5,5.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Akita,12,26,13.6,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
English Springer Spaniel,14,22,22.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Labrador Retriever,12,22.5,17.9,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
Australian Kelpie,14,18.5,35.5,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Miniature Poodle,15,15,11.3,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Anatolian Shepherd,14,28,44.2,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Pointer,15,24,24.5,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Japanese Chin,15,11,22.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Samoyed,14,22,18.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Greyhound,12,28,32,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Pekingese,15,9,23.1,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Kuvasz,12,27,15.9,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
American Eskimo Dog,15,17,12.4,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Old English Sheepdog,12,24,22.5,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Gordon Setter,14,25.5,20.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Weimaraner,12,27,16.8,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Miniature Schnauzer,15,14,22.1,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Vizsla,14,22,29,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Italian Greyhound,15,14,11.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Basset Hound,12,15,18.3,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Basenji,15,16.5,33.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Keeshond,15,18,15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,14,23.5,26.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bull Terrier,12,21,36.3,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Pekingese,15,9,24.8,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Newfoundland,11,27,2.8,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Belgian Malinois,14,24,53.4,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Golden Retriever,14,22.5,19.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Terrier,15,12,13.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Springer Spaniel,14,22,21.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,16,18.5,36.3,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Finnish Spitz,15,17.5,28.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,14,25.5,10.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Greyhound,12,28,40.2,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Saint Bernard,10,28,24.4,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Vizsla,14,22,19.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bloodhound,12,24.5,11.4,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Xoloitzcuintli,15,14,33,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Terrier,15,12,21.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bull Terrier,12,21,22.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,14,18,26.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,14,18.5,-2.9,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,14,12,19.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Finnish Spitz,15,17.5,23.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pomeranian,16,7,29.9,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Miniature Schnauzer,15,14,38.9,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Pomeranian,16,7,31.3,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Xoloitzcuintli,15,14,15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,14,25.5,18,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Samoyed,14,22,-8.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Great Dane,10,31,20,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Boxer,12,23,30.8,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Irish Wolfhound,8,32.5,27.8,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
English Springer Spaniel,14,22,29.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,15,11,23.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,14,22.5,14.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Greyhound,12,28,4.2,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Wirehaired Pointing Griffon,14,22.5,26.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Weimaraner,12,27,47.6,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
West Highland White Terrier,15,12,33.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Lhasa Apso,15,11,32.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shar Pei,12,19,37.2,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Golden Retriever,12,22.5,9.1,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Standard Poodle,15,18.5,23.2,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Pomeranian,16,7,23.3,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Anatolian Shepherd,14,28,17.2,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Saint Bernard,10,28,30.5,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Pharaoh Hound,14,23,10.2,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Toy Poodle,15,11,15.7,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Boxer,12,23,41,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Weimaraner,12,27,3.6,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Borzoi,12,27.5,32.9,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Basset Hound,12,15,20.4,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Irish Water Spaniel,14,22.5,35.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Saint Bernard,10,28,25.1,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Greyhound,12,28,35.4,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Boxer,12,23,30.5,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Papillon,15,11,-1.9,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Harrier,14,19.5,9.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Affenpinscher,15,11,30,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Samoyed,14,22,34.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Setter,15,25,30.6,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Mastiff,10,32,20.9,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Boxer,12,23,46.8,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Irish Setter,15,26,24,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Harrier,14,19.5,19.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Basset Hound,12,15,21.2,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Basenji,15,16.5,33.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Mastiff,10,32,12.6,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
West Highland White Terrier,15,12,14.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Border Collie,15,20,30.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Border Terrier,16,16,31.8,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
English Springer Spaniel,14,22,20,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Greyhound,12,28,28.5,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Samoyed,14,22,15.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Newfoundland,11,27,25.6,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Irish Wolfhound,8,32.5,19.8,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Akita,12,26,38.5,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Labrador Retriever,12,22.5,9.8,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
English Setter,15,25,19.4,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Bichon Frise,15,11,13.4,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Newfoundland,11,27,38.5,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Cocker Spaniel,15,14.5,35.4,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
